Title,Price,Rating,Colors,Size,Gender,Timestamp
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2026-06-13T14:12:24.114885
T-shirt 2,$102.15,Rating: ⭐ 3.9 / 5,3 Colors,Size: M,Gender: Women,2026-06-13T14:12:24.114983
Hoodie 3,$496.88,Rating: ⭐ 4.8 / 5,3 Colors,Size: L,Gender: Unisex,2026-06-13T14:12:24.115043
Pants 4,$467.31,Rating: ⭐ 3.3 / 5,3 Colors,Size: XL,Gender: Men,2026-06-13T14:12:24.115094
Outerwear 5,$321.59,Rating: ⭐ 3.5 / 5,3 Colors,Size: XXL,Gender: Women,2026-06-13T14:12:24.115144
Jacket 6,$153.37,Rating: ⭐ 3.3 / 5,3 Colors,Size: S,Gender: Unisex,2026-06-13T14:12:24.115191
Crewneck 7,$430.75,Rating: ⭐ 4.3 / 5,3 Colors,Size: M,Gender: Men,2026-06-13T14:12:24.115287
T-shirt 8,$487.66,Rating: ⭐ 3.1 / 5,3 Colors,Size: L,Gender: Women,2026-06-13T14:12:24.115348
Hoodie 9,$248.26,Rating: ⭐ 3.2 / 5,3 Colors,Size: XL,Gender: Unisex,2026-06-13T14:12:24.115404
Pants 10,$193.76,Rating: ⭐ 4.2 / 5,3 Colors,Size: XXL,Gender: Men,2026-06-13T14:12:24.115450
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2026-06-13T14:12:24.115494
Jacket 12,$532.99,Rating: ⭐ 3.9 / 5,3 Colors,Size: M,Gender: Unisex,2026-06-13T14:12:24.115541
Crewneck 13,$340.45,Rating: ⭐ 3.2 / 5,3 Colors,Size: L,Gender: Men,2026-06-13T14:12:24.115586
T-shirt 14,$203.05,Rating: ⭐ 3.8 / 5,3 Colors,Size: XL,Gender: Women,2026-06-13T14:12:24.115638
Hoodie 15,$136.51,Rating: ⭐ 3.6 / 5,3 Colors,Size: XXL,Gender: Unisex,2026-06-13T14:12:24.115683
Pants 16,,Rating: Not Rated,8 Colors,Size: S,Gender: Men,2026-06-13T14:12:24.115736
Outerwear 17,$52.60,Rating: ⭐ 3.8 / 5,3 Colors,Size: M,Gender: Women,2026-06-13T14:12:24.115783
Jacket 18,$343.75,Rating: ⭐ 3.8 / 5,3 Colors,Size: L,Gender: Unisex,2026-06-13T14:12:24.115827
Crewneck 19,$81.81,Rating: ⭐ 3.6 / 5,3 Colors,Size: XL,Gender: Men,2026-06-13T14:12:24.115876
T-shirt 20,$82.85,Rating: ⭐ 3.4 / 5,3 Colors,Size: XXL,Gender: Women,2026-06-13T14:12:24.115919
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2026-06-13T14:12:26.107087
Pants 22,$269.98,Rating: ⭐ 4.9 / 5,3 Colors,Size: M,Gender: Men,2026-06-13T14:12:26.107169
Outerwear 23,$290.99,Rating: ⭐ 3.7 / 5,3 Colors,Size: L,Gender: Women,2026-06-13T14:12:26.107231
